M. abscessus 	CIP 104536 	AY458075 (2), AF547802 (19)
M. psychrotolerans 	DSM 44697 	HM602035
M. pulveris 	CIP 106804 	AF547869 (14)
M. pyrenivorans 	DSM 44605 	JF510463
M. rhodesiae 	CIP 106806 	AF547870 (14)
M. riyadhense 	NLA000201958 	EU921671 (56)
M. rufum 	JS14 	DQ841181 (19)
M. rutilum 	czh-117 	DQ841180 (19)
M. salmoniphilum 	ATCC 13758 	DQ866777 (63)
M. saskatchewanense 	NRCM 00-250; ATCC BAA-544 	AY208858 (54)
	CIP 108114 	AY943203
	DSM 44616 	JF491331
M. scrofulaceum 	ATCC 19981 	GQ153288 (49), AF434733, AY299138 (23), JF491304
	CIP 105416 	AF547871 (14)
M. senegalense 	NCTC 10956 	AM902954 (39)
	ATCC 35796 	AY684045 (61), JF491327
M. senuense 	DSM 44999 	FJ268582, JF491328
	05-832 	DQ536409 (36)
M. seoulense 	DSM 44998 	EU191916, JF491322
M. septicum 	ATCC 700731 	AY373457 (23), AY496142 (62)
	DSM 44393 	JF491329
M. setense 	CIP 109395 	EU371505 (50)
M. shimoidei 	DSM 44152 	AF547874 (14)
	ATCC 27962 	JF491305
M. shottsii 	NCTC 13215T 	AM902955 (39), DQ987723
	ATCC 700981 	AY550225 (34), EU619895
M. simiae 	CIP 104531 	AF547875 (14)
	ATCC 25275 	GQ153292 (49), AF434730, JF491306
M. smegmatis 	ATCC 19420 	AY458065 (2), JF491307
	CIP 104444 	AF547876 (14)
M. sphagni 	DSM 44076 	AF547877 (14)
M. stomatepiae 	DSM 45059T 	AM902968 (38, 39)
M. szulgai 	ATCC 35799 	AF350412 (64), AY299141 (23), JF491308
	CIP 104532 	AF547878 (14)
M. terrae 	ATCC 15755 	AF257468, AF434736, AY299142 (23)
	CIP 104321 	AF547879 (14)
M. thermoresistibile 	CIP 105390 	AF547880 (14)
M. timonense 	CIP 109830 	HM602038
M. tokaiense 	CIP 106807 	AF547881 (14)
	ATCC 27282 	JF491309
M. triplex 	ATCC 700071 	AY027786 (31), GQ153291 (49)
	CIP 106108 	AF547882 (14)
M. triviale 	DSM 44153 	AF547883 (14)
	ATCC 23292 	AF434737, AY299143 (23), JF491310
M. tuberculosis 	ATCC 27294 	AY299144 (23), JF491311
	H37Rv 	NC_000962 (8, 10)
M. tusciae 	CIP 106367 	AF547887 (14)
M. ulcerans 	ATCC 19423 	AY299145 (23), AB548723, AF271096 (45)
M. vaccae 	CIP 105934 	AF547889 (14)
	ATCC 15483 	JF491312
M. vanbaalenii 	DSM 7251 	AY438091
	PYR-1 	NC_008726
M. vulneris 	NLA000700772 	EU834054 (58)
M. wolinskyi 	CIP 106348 	AF547890 (14)
	ATCC 700010 	AY299164 (23), AY458064 (2)
M. xenopi 	CIP 104035 	AF547891 (14)
	ATCC 19250 	AF434738, AY373454 (23)
